iter	RMSE
0	0.08295112562
1	0.08201179448
2	0.08104209212
3	0.0800792891
4	0.07920926061
5	0.0782357347
6	0.07736253961
7	0.07651815418
8	0.07584932762
9	0.07511747733
10	0.07457607059
11	0.07390826673
12	0.07325176611
13	0.07249811164
14	0.07182519141
15	0.07133547348
16	0.0707660461
17	0.07027679679
18	0.06962675869
19	0.06906298695
20	0.06858393426
21	0.06812197222
22	0.0677970026
23	0.06735444395
24	0.06685264683
25	0.06634524883
26	0.06597717302
27	0.06575000272
28	0.0653457305
29	0.06509336405
30	0.06482091414
31	0.06450035492
32	0.06415037245
33	0.06387067907
34	0.06350011388
35	0.06320790803
36	0.06297161521
37	0.06263091351
38	0.06243462915
39	0.06215601302
40	0.06199428099
41	0.06179534974
42	0.06169671762
43	0.06155495476
44	0.06123810012
45	0.06096291756
46	0.06075293462
47	0.0605866208
48	0.06038024128
49	0.06030359492
50	0.06011053965
51	0.05978829404
52	0.05953660275
53	0.05940669898
54	0.05930881133
55	0.05915047225
56	0.05898831862
57	0.05881083276
58	0.05860352982
59	0.05851514798
60	0.05830120631
61	0.05816819687
62	0.05804763927
63	0.05780995158
64	0.05760687495
65	0.05752540786
66	0.05727875333
67	0.05710544501
68	0.05694751891
69	0.05676893421
70	0.05664877637
71	0.05654099738
72	0.05650690589
73	0.05646625556
74	0.05629514429
75	0.05615294476
76	0.05591715045
77	0.05581255754
78	0.05573226867
79	0.05569155652
80	0.05557050222
81	0.05540730734
82	0.05525016354
83	0.05505737044
84	0.05488196373
85	0.05484222225
86	0.05475873241
87	0.05472886935
88	0.05472087432
89	0.05469993216
90	0.05462161202
91	0.05450859847
92	0.05449335686
93	0.05448658715
94	0.05433588521
95	0.05427086422
96	0.05411003216
97	0.05404202221
98	0.05381572913
99	0.05380692733
100	0.05362689705
101	0.05353291474
102	0.05350607992
103	0.05347598803
104	0.05342204327
105	0.05331024325
106	0.05318804005
107	0.05312545564
108	0.05300527637
109	0.05282358251
110	0.05264082697
111	0.05260098617
112	0.05252909273
113	0.05241702985
114	0.05230866673
115	0.05214234543
116	0.05197914044
117	0.0518740907
118	0.05177447712
119	0.05170499193
120	0.05164694026
121	0.05148646691
122	0.0513581693
123	0.05130141735
124	0.05110844676
125	0.05105165745
126	0.05098154557
127	0.05085149357
128	0.05078078521
129	0.05072720143
130	0.05066795795
131	0.05054152482
132	0.05035892014
133	0.05031389648
134	0.05024204378
135	0.05011692516
136	0.05001847013
137	0.0498732332
138	0.04976478169
139	0.04961946164
140	0.04958709964
141	0.0495016887
142	0.04945601063
143	0.0494215155
144	0.0492882028
145	0.04917227958
146	0.04911537449
147	0.04899730171
148	0.04894455036
149	0.04882199582
150	0.04874537756
151	0.0486261567
152	0.04852767974
153	0.04837289822
154	0.0482461623
155	0.04811060134
156	0.04797142016
157	0.04788336401
158	0.04782707991
159	0.0476879448
160	0.04752453367
161	0.04739677882
162	0.04731525279
163	0.04720969389
164	0.04715624632
165	0.04711292503
166	0.04705488977
167	0.04690119757
168	0.04683605555
169	0.04674828595
170	0.04668181455
171	0.04658003354
172	0.04642987936
173	0.04628384776
174	0.04623668857
175	0.04609198861
176	0.04598817226
177	0.04588203594
178	0.04581525968
179	0.04571817379
180	0.0456678488
181	0.04559697249
182	0.04555816728
183	0.04545571468
184	0.04530432014
185	0.04517626942
186	0.04513264233
187	0.04506059116
188	0.04496857235
189	0.04490477021
190	0.04477126967
191	0.04469511218
192	0.04456759751
193	0.04451965214
194	0.04448309434
195	0.0443750314
196	0.04427124149
197	0.04422104001
198	0.04414000598
199	0.04404999827
200	0.04392222737
201	0.04386070988
202	0.04382688627
203	0.04373659136
204	0.04364395569
205	0.04349090737
206	0.04337559832
207	0.04327740304
208	0.04324282334
209	0.04318478955
210	0.04310701553
211	0.04297454111
212	0.04293300311
213	0.04290021162
214	0.04275964245
215	0.04269387802
216	0.0426629616
217	0.04250670018
218	0.04242731819
219	0.04239590079
220	0.0423424789
221	0.04223211199
222	0.04220234493
223	0.04210214513
224	0.0420666877
225	0.04203227987
226	0.04195972
227	0.04185365708
228	0.04182350558
229	0.04171728773
230	0.04168125891
231	0.04164319748
232	0.04161118378
233	0.04145723467
234	0.04138214424
235	0.04135191221
236	0.04131197129
237	0.04123003516
238	0.04120562867
239	0.04111064647
240	0.04108230997
241	0.04104839239
242	0.04102503044
243	0.0409928815
244	0.04084523904
245	0.04078455791
246	0.0407289665
247	0.04065829388
248	0.04063212159
249	0.04051218143
250	0.04049027048
251	0.0403772411
252	0.04032718543
253	0.04025045623
254	0.04022410759
255	0.04011549065
256	0.04009251412
257	0.04003858637
258	0.03999992119
259	0.03997554598
260	0.03991023344
261	0.03974562374
262	0.03967685366
263	0.03965374276
264	0.03956812807
265	0.0395029376
266	0.03948380766
267	0.03944028413
268	0.03941805029
269	0.0393804102
270	0.03928631056
271	0.03925177997
272	0.03919800849
273	0.03917647912
274	0.03915540693
275	0.0391252901
276	0.03907815194
277	0.03901676377
278	0.03899153323
279	0.03889587346
280	0.03882641145
281	0.03874711965
282	0.038673951
283	0.0385996797
284	0.03857581265
285	0.03855619218
286	0.03853714633
287	0.03850141171
288	0.03846076358
289	0.03844190192
290	0.03840806892
291	0.03838975071
292	0.03830458831
293	0.0382354608
294	0.03822697857
295	0.03815799317
296	0.03804950461
297	0.03803201097
298	0.03801176174
299	0.03797072309
300	0.03795410118
301	0.03789905127
302	0.03788302587
303	0.03785626952
304	0.03777838986
305	0.03774959693
306	0.0376511988
307	0.03762204155
308	0.03760314463
309	0.03757762329
310	0.0375621958
311	0.03746918109
312	0.03745450075
313	0.03739312332
314	0.03729836817
315	0.03721638606
